award number,published_year,investigators
9020899,1991,"Markusen,Ann"
9907052,1999,"Bassett,Thomas"
9012908,1990,"Kilkenny,Maureen|Rose,Adam"
9811178,1998,"Brook,George"
0111526,2002,"Becker,Laurence"
0825121,2008,"City,Christopher|Martin,Deborah|Emel,Jacque"
9321212,1994,"King,Gary"
0927687,2009,"Bhuta,Arvind|Kennedy,Lisa"
68S1774,1968,
7707579,1977,"Nam,Charles|Sly,David"
0137106,2002,"Toal,Gerard"
0852549,2008,"Sherman-Morris,Kathy|Brown,Michael|Senkbeil,Jason|Dixon,Grady|Brommer,David"
0623514,2006,"Liu,Kam-biu"
9224817,1993,"Talbot,Robert|Harriss,Robert"
9412377,1994,"Burr,Jeffrey|Mutchler,Jan|Rogerson,Peter"
8413043,1985,"Sonka,Steven|Changnon,Stanley"
7809078,1978,"Church,Richard|Bell,Thomas"
9905213,1999,"Griffith,Daniel"
0848583,2009,"Coen,Deborah"
9876455,1999,"O'Kelly,Morton"
0101219,2001,"Lawson,Victoria"
8112495,1981,"Koppelman,Frank"
9310459,1993,"Abler,Ronald"
9900678,1999,"August,Peter|Mazzotta,Marisa|Johnston,Robert|Opaluch,James"
0001780,2000,"Prucha,Ingmar|Kelejian,Harry"
8308901,1983,"Malecki,Edward"
8011239,1980,"Rivizzigno,Victoria|Isphording,Wayne"
8218451,1983,"Rogerson,Peter"
0004281,2001,"Leung,Chi Kin"
9696115,1995,"Blum,Michael"
9696230,1996,"Moran,Emilio"
9104526,1991,
6426346,1964,
8520051,1986,"Fetter,Bruce"
8511751,1986,"Hanson,Andrew"
6400021,1965,"Lounsbury,John"
64E5248,1964,
7603797,1976,"Isard,Walter"
9950149,1999,"Wasklewicz,Thad|Burnett,Adam"
9223427,1993,"MacEachren,Alan"
0451486,2005,"Miller,Jennifer"
8016416,1980,"Hodge,David"
0136161,2002,"Robeson,Scott"
8713581,1987,"Sternberg,Hilgard"
0958110,2008,"Walker,Joan"
8411300,1984,"Switzer,Paul"
0602703,2006,"Watts,Michael"
9628026,1996,"Abrahams,Athol"
0727606,2007,"FitzSimmons,Margaret"
7614348,1976,"Hudson,John"
8407587,1984,"Lougeay,Ray"
